公司,名称,地址,学历,福利,经验,职位类型,薪资
 江苏世轩供应链管理有限公司 ,财务主管, 仙林大… ,大专,"广告,五险一金,话补,加班补助,年底双薪,周末双休",1年以下,财务经理/主管,4000-8000
 南京百年同庆餐饮有限公司 ,高薪诚聘驻店会计, 仙林大… ,大专,"五险一金,包吃,包住,话补",不限,会计/会计师,3800-5000
 南京携创餐饮服务有限公司 ,杨将军巷9号KTV会计, 仙林大… ,大专,"包吃,包住",1-2年,会计/会计师,3500-4500
 南京康瑞美化妆品有限公司 ,财务, 仙林大… ,大专,,3-5年,财务/会计助理,面议
 南京高立工程机械有限公司 ,急聘往来/销售会计, 仙林大… ,大专,"包住,包吃,五险一金,年底双薪",1-2年,会计/会计师,5000-6000
 江苏东风南方汽车销售服务有限… ,会计五险一金双薪工作餐, 仙林大… ,大专,"五险一金,包吃,加班补助",不限,会计/会计师,4000-5000
 广州子辛网络开发有限公司 ,出纳|0基础上岗培训, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,出纳,4000-7000
 南京金厚教育科技有限公司 ,会计, 仙林大… ,大专,"五险一金,年底双薪,周末双休,交通补助,加班补助",10年以上,会计/会计师,3000-5000
 南京茂凯物流有限公司 ,总账会计, 仙林大… ,大专,"包吃,包住,交通补助,饭补,加班补助",3-5年,会计/会计师,面议
 美迷医疗管理（上海）有限公司 ,会计5五险可应届生, 仙林大… ,不限,"加班补助,房补,包吃,交通补助,话补",不限,会计/会计师,3000-4000
 南京中普钢铁销售有限公司 ,会计, 仙林大… ,本科,"五险一金,周末双休,交通补助,饭补",6-7年,会计/会计师,面议
 南京百世鑫餐饮管理有限公司 ,双休招聘会计, 仙林大… ,大专,周末双休,1-2年,会计/会计师,4000-6000
 广州子辛网络开发有限公司 ,会计培训+ 好工作, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 广州子辛网络开发有限公司 ,会计小白培训+就业推荐, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 广州子辛网络开发有限公司 ,财务会计|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 江苏快鹿商旅汽车服务有限公司 ,会计, 仙林大… ,大专,"包吃,五险一金",6-7年,会计/会计师,面议
 广州子辛网络开发有限公司 ,审计|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,4000-6000
 广州子辛网络开发有限公司 ,出纳|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,4000-6000
 广州子辛网络开发有限公司 ,转行0基础学会计+双休, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,3500-6000
 广州子辛网络开发有限公司 ,管理会计|0基础培训上岗, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,会计/会计师,4000-6500
 南京苏创艺术培训有限公司 ,教育机构聘会计兼人事1名, 仙林大… ,大专,"年底双薪,加班补助,交通补助,五险一金",不限,财务/会计助理,3000-5000
 广州子辛网络开发有限公司 ,财务助理|0基础培训上岗, 仙林大… ,不限,"求职保障,五险一金,周末双休,年底双薪",不限,财务/会计助理,3500-6000
 广州子辛网络开发有限公司 ,出纳|会计提升技能培训, 仙林大… ,不限,"求职保障,五险一金,周末双休,年底双薪",不限,出纳,3500-6000
 广州子辛网络开发有限公司 ,出纳|会计0基础实操培训, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,出纳,4000-6000
 广州子辛网络开发有限公司 ,出纳|会计0基础实操培训, 仙林大… ,不限,"求职保障,年底双薪,周末双休,五险一金",不限,出纳,3500-6000
 广州子辛网络开发有限公司 ,总账会计|会计提升培训, 仙林大… ,不限,"求职保障,五险一金,周末双休,年底双薪",不限,财务/会计助理,3500-6000
 聚力医药 ,初级会计, 仙林大… ,大专,"加班补助,五险一金",1-2年,会计/会计师,4000-6000
 南京七河生物科技有限公司 ,专职会计, 仙林大… ,本科,"包吃,年底双薪,加班补助,包住,周末双休",8-10年,会计/会计师,4000-8000
 南京宝睿丰商贸有限公司 ,打包人员会计销售, 仙林大… ,不限,"房补,饭补",不限,会计/会计师,面议
 南京蓝青文化传播有限公司 ,培训中心前台, 仙林大… ,大专,"五险一金,包住,话补,交通补助,饭补",1-2年,会计/会计师,3500-6000
 南京中全人力资源有限公司 ,公司直招会计包吃午饭, 仙林大… ,不限,"求职保障,包吃,加班补助,五险一金,年底双薪,交通补助",不限,会计/会计师,4000-8000
 南京塔兰托商贸有限公司 ,出纳会计（江宁润发西路）, 仙林大… ,高中,"五险一金,包住",不限,会计/会计师,4000-6000
 江苏铝铸建材有限公司 ,会计, 仙林大… ,大专,"五险一金,包吃,交通补助,年底双薪",不限,会计/会计师,面议
 南京别忘了商贸有限公司 ,会计, 仙林大… ,大专,"五险一金,包吃,包住,话补,饭补",1-2年,会计/会计师,5500-7500
 南京埃尔顿智能科技有限公司 ,会计, 仙林大… ,中专,"周末双休,加班补助",3-5年,会计/会计师,4000-4500
 南京古理生态农业科技发展有限… ,会计, 仙林大… ,大专,"五险一金,包吃,包住",不限,会计/会计师,5500-6000
 南京虎龙文化传播有限公司 ,出纳, 仙林大… ,不限,"包吃,包住",不限,会计/会计师,3000-4000
 南京苏奥体育设施工程有限公司 ,骋中级职称会计+待遇优, 仙林大… ,大专,"五险一金,周末双休,饭补,交通补助,加班补助",3-5年,会计/会计师,5000-8000
 南京酒仕堂酒业有限责任公司 ,急聘会计五险一金, 仙林大… ,不限,"求职保障,五险一金",10年以上,会计/会计师,3000-5000
 南京佳音人力资源有限公司 ,急招会计一名, 仙林大… ,大专,"求职保障,五险一金,周末双休,交通补助,加班补助,包住",3-5年,会计/会计师,3800-5500
 江苏公大食品有限公司 ,成本会计, 仙林大… ,不限,"五险一金,周末双休",1-2年,会计/会计师,5000-6000
 南京合顺财务管理有限公司 ,总账会计+双休+五险, 仙林大… ,大专,周末双休,3-5年,会计/会计师,5000-8000
 江苏格源财务服务有限公司 ,新街口会计双休年假, 仙林大… ,大专,"五险一金,周末双休,交通补助,饭补,话补",1-2年,会计/会计师,6000-8000
 南京品世餐饮管理有限公司 ,会计, 仙林大… ,不限,"包住,话补,饭补,加班补助",3-5年,会计/会计师,面议
 南京市雨花台区南舒房餐饮店 ,高薪急聘6K+财务, 仙林大… ,不限,,不限,会计/会计师,6000-7000
 南京邦联汽车租赁有限公司 ,总账会计+五险高福利, 仙林大… ,大专,,3-5年,会计/会计师,4000-4500
 南京中全人力资源有限公司 ,栖霞区招会计一名, 仙林大… ,不限,"包住,包吃,年底双薪,交通补助,加班补助",不限,会计/会计师,3500-5000
 南京世代缘大酒店有限公司 ,总账会计, 仙林大… ,不限,"包吃,包住,周末双休",1-2年,会计/会计师,5000-6000
 南京市雨花台区康都建材销售中心 ,诚聘财务会计, 仙林大… ,本科,"饭补,周末双休",3-5年,会计/会计师,5000-7000
 南京紫坤餐饮管理有限公司 ,名客汇成本核算会计, 仙林大… ,不限,"包吃,包住",不限,会计/会计师,面议
 南京小蛮腰美容有限公司 ,会计, 仙林大… ,大专,加班补助,不限,会计/会计师,4000-5000
 南京瑞顺物流有限公司 ,会计, 仙林大… ,大专,"五险一金,包住,年底双薪,话补,饭补",1-2年,会计/会计师,5000-6000
 南京陕汽重卡汽车销售服务有限… ,总账会计, 仙林大… ,大专,"饭补,包吃,周末双休",3-5年,会计/会计师,面议
 南京军歌餐饮管理有限公司 ,财会计高薪2年经验, 仙林大… ,不限,"包吃,包住,周末双休",不限,会计/会计师,6000-8000
 南京畅汇餐饮管理有限公司 ,餐饮财务总账会计成本会计, 仙林大… ,高中,"包吃,包住,房补,年底双薪,周末双休",3-5年,会计/会计师,5000-10000
 南京渔留唇餐饮管理有限公司 ,总账会计, 仙林大… ,大专,"五险一金,包吃,包住,周末双休,年底双薪",3-5年,会计/会计师,面议
 南京弘毅达建设工程有限公司 ,建筑行业总账会计+双休, 仙林大… ,大专,"五险一金,年底双薪,周末双休,饭补",不限,会计/会计师,5000-8000
 南京广福贸易有限公司 ,江宁区会计2年以上经验, 仙林大… ,大专,"交通补助,加班补助,五险一金,包吃,周末双休",3-5年,会计/会计师,4000-5000
 江苏沃元精密机械有限公司 ,主办会计, 仙林大… ,本科,"包吃,包住",3-5年,会计/会计师,5000-10000
 南京安吉特矿山 ,会计, 将军大道 ,不限,"包吃,加班补助,年底双薪,包住,五险一金",不限,会计/会计师,面议
 南京佳盛酒店管理有限公司 ,财务成本会计审计税务, 将军大道 ,大专,"包吃,包住",1-2年,会计/会计师,3000-6000
 南京迪科达装饰工程有限公司 ,急聘南京秦淮会计/有经验, 将军大道 ,大专,五险一金,1-2年,会计/会计师,3000-5000
 南京惠道佳商贸有限公司 ,会计+五险, 将军大道 ,大专,"饭补,加班补助",3-5年,会计/会计师,4000-6000
 江都区仙女镇庆宝银楼 ,秦淮|双休5K招内账会计, 将军大道 ,大专,周末双休,1年以下,会计/会计师,5000-5500
 江苏兰之雅建筑装饰有限公司 ,主管会计, 将军大道 ,大专,"五险一金,包吃,包住",6-7年,会计/会计师,5000-10000
 宏大建设集团有限公司 ,招建筑业会计.男性, 将军大道 ,高中,"五险一金,包吃,包住,年底双薪,话补",不限,会计/会计师,面议
 南京恒翔保温材料制造有限公司 ,会计, 将军大道 ,不限,"包吃,包住,加班补助,年底双薪",3-5年,会计/会计师,5000-6000
 南京市鼓楼区和丰益足疗店 ,会计高薪2年经验, 将军大道 ,不限,"包吃,包住",不限,会计/会计师,3000-5000
 江苏轩华置业有限公司 ,会计, 将军大道 ,不限,"周末双休,包吃,包住",不限,会计/会计师,3000-5000
 南京宏俊供应链管理有限公司 ,会计/会计师, 将军大道 ,不限,,不限,会计/会计师,3000-5000
 江苏格源财务服务有限公司 ,新街口急招会计双休高薪, 将军大道 ,大专,"五险一金,周末双休,交通补助,饭补,话补",1-2年,会计/会计师,6000-8000
 南京金厚教育科技有限公司 ,外勤会计, 将军大道 ,大专,"五险一金,年底双薪,周末双休,交通补助,加班补助",3-5年,会计/会计师,3000-4500
 南京军歌餐饮管理有限公司 ,诚聘会计高薪, 将军大道 ,本科,"包住,周末双休",1-2年,会计/会计师,3500-4000
 江都区仙女镇庆宝银楼 ,双休5000急招做账会计, 将军大道 ,本科,周末双休,1-2年,会计/会计师,5000-5500
 江苏格源财务服务有限公司 ,6K新街口会计+五险双休, 将军大道 ,不限,"五险一金,周末双休,交通补助,饭补,话补",不限,会计/会计师,6000-8000
 江苏格源财务服务有限公司 ,诚聘会计薪资6000起, 将军大道 ,不限,"五险一金,周末双休,饭补,话补,房补",不限,会计/会计师,6000-8000
 江苏格源财务服务有限公司 ,高薪招会计双休五险, 将军大道 ,不限,"五险一金,周末双休",不限,会计/会计师,6000-8000
 江苏可成科技有限公司 ,会计/会计师, 将军大道 ,大专,周末双休,3-5年,会计/会计师,4000-5000
 南京市江宁区博惠百货超市店 ,超市会计, 将军大道 ,中专,,1-2年,会计/会计师,4000-6000
 南京名商实业有限公司 ,会计, 将军大道 ,中专,包吃,3-5年,会计/会计师,面议
 江苏创都智能科技有限公司 ,财务会计3年经验, 将军大道 ,大专,"五险一金,周末双休",3-5年,会计/会计师,5000-7000
 南京茂凯物流有限公司 ,总账会计, 将军大道 ,大专,"包吃,包住,交通补助,饭补,加班补助",3-5年,会计/会计师,面议
 南京市浦口区暖春科技信息咨询… ,在校实习生-会计助理, 将军大道 ,不限,周末双休,不限,会计/会计师,面议
 南京市江宁区户涛果品商行 ,会计、收银, 将军大道 ,不限,,不限,会计/会计师,面议
 南京思锐广告传播有限公司 ,会计五险税后3千起, 将军大道 ,中专,"五险一金,包住,周末双休,年底双薪,话补",1-2年,会计/会计师,3000-6000
 南京港盛船舶代理有限公司 ,诚聘会计2年经验, 将军大道 ,大专,"五险一金,周末双休,交通补助,加班补助,年底双薪",3-5年,会计/会计师,3000-5000
 南京泰丰石业有限公司 ,会计, 将军大道 ,不限,,不限,会计/会计师,面议
 南京圣联包装科技有限公司 ,主办会计, 将军大道 ,不限,"包吃,包住",不限,会计/会计师,5000-8000
 南京永顺会计师事务所集团有限… ,总账会计, 将军大道 ,大专,"包吃,周末双休,加班补助",1-2年,会计/会计师,4000-8000
 南京庆新隆管理咨询服务有限公司 ,会计/会计师, 将军大道 ,不限,,3-5年,会计/会计师,3000-5000
 南京凯和建设有限公司 ,会计, 将军大道 ,大专,,3-5年,会计/会计师,面议
 南京市六合区侯德余建材经营部 ,会计, 将军大道 ,大专,"五险一金,周末双休,年底双薪",不限,会计/会计师,5000-8000
 南京市鼓楼区艾达伦餐饮店 ,会计, 将军大道 ,不限,"包吃,包住,年底双薪",不限,会计/会计师,面议
 南京春雨财税咨询有限公司 ,会计, 将军大道 ,大专,"五险一金,周末双休,年底双薪,饭补",3-5年,会计/会计师,面议
 南京宝汇物流有限公司 ,总账会计, 秣陵 ,大专,"五险一金,年底双薪,周末双休,交通补助,话补",3-5年,会计/会计师,面议
 南京市雨花台区欧巴克餐饮店 ,会计, 秣陵 ,不限,,3-5年,会计/会计师,5000-6000
 江苏安泰劳务服务有限公司 ,会计, 秣陵 ,不限,"五险一金,周末双休,年底双薪,饭补",10年以上,会计/会计师,3000-5000
 南京华创科技贸易有限公司 ,项目会计, 秣陵 ,大专,,1-2年,会计/会计师,10000-18000
 南京香柏树金属制品有限公司 ,会计, 秣陵 ,大专,,1-2年,会计/会计师,面议
 南京睿尚食文化艺术发展有限公司 ,会计, 秣陵 ,大专,"五险一金,包吃,包住",1-2年,会计/会计师,4000-5000
 南京宇健会计服务有限公司 ,会计实习生, 秣陵 ,大专,"求职保障,周末双休",不限,会计/会计师,面议
 南京金兴源实业有限公司 ,会计, 秣陵 ,大专,"加班补助,饭补,交通补助,话补",1-2年,会计/会计师,3000-4000
 南京菲马特科技有限公司 ,会计, 秣陵 ,不限,,不限,会计/会计师,3000-5000
 南京欧倍仕食品有限公司 ,会计, 秣陵 ,大专,,3-5年,会计/会计师,6000-8000
 南京博算企业管理顾问有限公司 ,会计/会计师, 秣陵 ,不限,,不限,会计/会计师,面议
 南京瑾玉建筑工程有限公司 ,会计, 秣陵 ,不限,"包吃,包住",1-2年,会计/会计师,面议
 南京思铭达电器有限公司 ,会计/会计师, 秣陵 ,不限,五险一金,不限,会计/会计师,4000-7000
 南京春柳医疗管理有限公司 ,会计, 秣陵 ,不限,,不限,会计/会计师,面议
 南京市雨花台区江恒建材经营部 ,会计, 秣陵 ,大专,,1-2年,会计/会计师,面议
 南京名腾企业策划有限公司 ,会计, 秣陵 ,高中,"五险一金,包吃,包住,加班补助",1年以下,会计/会计师,4500-8000
 南京彤进建设工程有限公司 ,会计, 秣陵 ,不限,周末双休,不限,会计/会计师,面议
 南京宁鼎财务顾问有限公司 ,高薪急聘会计+待遇好, 秣陵 ,大专,,3-5年,会计/会计师,面议
 南京鸿创生物科技有限公司 ,会计/会计师, 秣陵 ,不限,,不限,会计/会计师,3000-5000
 南京明珠肥料有限责任公司 ,总账会计, 秣陵 ,高中,"包吃,包住,五险一金",3-5年,会计/会计师,面议
 南京金福惠新能源科技有限公司 ,诚聘会计高薪, 秣陵 ,本科,五险一金,1-2年,会计/会计师,4000-4500
 南京极地进出口有限公司 ,会计/会计师, 秣陵 ,不限,,不限,会计/会计师,面议
 南京晟华财务咨询有限公司 ,外勤会计, 秣陵 ,大专,"五险一金,周末双休",1-2年,会计/会计师,2800-3500
 南京同济堂医药有限公司 ,会计, 秣陵 ,本科,"交通补助,加班补助,包住,五险一金,周末双休",不限,会计/会计师,3000-5000
 南京艾心堂健康投资管理顾问有… ,会计, 秣陵 ,不限,"饭补,交通补助,加班补助,五险一金",不限,会计/会计师,面议
 南京佰昌建筑劳务有限公司 ,会计, 秣陵 ,不限,,3-5年,会计/会计师,5500-6000
 南京新概念农业科技有限公司 ,会计/会计师, 秣陵 ,大专,"五险一金,包吃,包住",3-5年,会计/会计师,面议
 南京蚂蚁旅游发展有限公司 ,会计, 秣陵 ,不限,"五险一金,包吃,包住,加班补助",6-7年,会计/会计师,5000-8000
 江苏丰聚智能科技有限公司 ,会计, 秣陵 ,不限,,不限,会计/会计师,4000-7000
 南京新力无纺制品有限公司 ,会计, 秣陵 ,不限,"包住,包吃,周末双休",3-5年,会计/会计师,面议
 南京食为鲜供应链管理有限公司 ,会计/会计师, 秣陵 ,不限,,不限,会计/会计师,3000-5000
 普拉斯玛（南京）农业科技发展… ,会计, 秣陵 ,不限,"五险一金,周末双休",不限,会计/会计师,4500-5000
 南京步云轩装饰工程有限公司 ,会计, 秣陵 ,不限,,不限,会计/会计师,面议
 南京宝威裕达体育用品有限公司 ,管理会计, 秣陵 ,大专,"加班补助,年底双薪,周末双休",1-2年,会计/会计师,4000-5000
 江苏空车汽车服务有限公司 ,会计, 秣陵 ,大专,"五险一金,周末双休,饭补",1-2年,会计/会计师,4000-4500
 南京宝睿丰商贸有限公司 ,急聘搬运工+包吃住+轻松, 南京 ,不限,"包住,包吃",不限,会计/会计师,3500-4000
 南京吉益钢材有限公司 ,会计, 南京 ,不限,,不限,会计/会计师,面议
 江苏宇强国际货运代理有限公司 ,总帐会计, 南京 ,本科,周末双休,3-5年,会计/会计师,面议
 南京玛翊机电工程有限公司 ,会计/会计师, 南京 ,大专,"五险一金,周末双休,话补",不限,会计/会计师,3000-5000
 南京名腾企业策划有限公司 ,会计, 南京 ,大专,"五险一金,包吃,加班补助",1-2年,会计/会计师,5000-8000
 江苏苏宸物资有限公司 ,财务, 南京 ,不限,"五险一金,年底双薪",不限,会计/会计师,面议
 四川立广建设工程有限公司 ,会计, 南京 ,大专,"包吃,包住",3-5年,会计/会计师,3000-5000
 盐城银厦建筑工程有限公司 ,财务专员高薪2年经验, 南京 ,大专,"五险一金,包住,包吃,加班补助",1-2年,会计/会计师,3500-5500
 南京海超财务管理顾问有限公司 ,会计, 南京 ,中专,"五险一金,周末双休,饭补",1-2年,会计/会计师,面议
 南京衡度财务管理咨询有限公司 ,会计/会计师, 南京 ,不限,"五险一金,周末双休",不限,会计/会计师,4000-5000
 南京力帆财务咨询服务有限公司 ,做账会计, 南京 ,不限,"周末双休,年底双薪,交通补助,话补,五险一金",不限,会计/会计师,4000-7000
 南京捷亚凯财税咨询有限公司 ,会计/会计师, 南京 ,不限,加班补助,10年以上,会计/会计师,面议
 南京欧倍仕食品有限公司 ,会计, 南京 ,大专,,3-5年,会计/会计师,6000-8000
 南京久源财务咨询有限公司 ,会计, 南京 ,大专,"周末双休,交通补助,加班补助,饭补,话补",1-2年,会计/会计师,5000-10000
 南京业焙源建筑安装工程有限公司 ,会计/会计师, 南京 ,不限,周末双休,1-2年,会计/会计师,3000-5000
 江苏国成文化发展有限公司 ,急招会计, 南京 ,大专,"加班补助,周末双休,话补,交通补助",1-2年,会计/会计师,4000-8000
 四川荣晟物业服务有限公司江苏… ,出纳会计, 南京 ,不限,周末双休,1-2年,会计/会计师,3000-3500
 南京富利达建筑工程有限公司 ,会计, 南京 ,不限,,不限,会计/会计师,3000-5000
 南京市江北新区喜造奶茶店 ,会计, 南京 ,大专,加班补助,不限,会计/会计师,面议
 南京高华健康咨询有限公司 ,会计/会计师, 南京 ,大专,"五险一金,包吃",3-5年,会计/会计师,5000-6000
 南京达朗汽车服务有限公司 ,会计, 南京 ,本科,"周末双休,五险一金,包吃",6-7年,会计/会计师,3000-5000
 江苏惠利环保科技有限公司 ,往来会计, 南京 ,大专,"五险一金,周末双休",3-5年,会计/会计师,面议
 南京市雨花台区思睿德幕墙材料… ,会计, 南京 ,不限,,不限,会计/会计师,3000-5000
 福州市仓山区仙岩石材经营部 ,会计, 南京 ,不限,"包吃,包住",不限,会计/会计师,面议
 南京华运市场管理有限公司 ,会计, 南京 ,本科,"求职保障,五险一金,包吃,包住",3-5年,会计/会计师,4000-6000
 南京市雨花台区北福电子经营部 ,财务会计, 南京 ,大专,"五险一金,房补,话补,交通补助,饭补",不限,会计/会计师,6000-9000
 南京皖路脚手架有限公司 ,会计, 南京 ,大专,"包吃,包住,周末双休",3-5年,会计/会计师,面议
 江苏鼎唐物资有限公司 ,会计（女士）, 南京 ,大专,五险一金,3-5年,会计/会计师,面议
 南京益厨王食品有限公司 ,会计, 南京 ,不限,"五险一金,包吃",不限,会计/会计师,3000-5000
 南京美宽商贸有限公司 ,会计, 南京 ,不限,,不限,会计/会计师,4000-4100
 南京首天电器制造有限公司 ,会计, 南京 ,大专,"包吃,包住,交通补助",3-5年,会计/会计师,3000-5000
 南京名创特种纤维科技有限公司 ,会计, 南京 ,不限,,不限,会计/会计师,面议
 南京路路通机械设备有限公司 ,会计, 南京 ,不限,饭补,不限,会计/会计师,面议
 南京蒸腾食品有限公司 ,会计, 南京 ,不限,包吃,不限,会计/会计师,面议
 南京冠腾驾驶培训有限公司 ,出纳会计, 南京 ,不限,"五险一金,包吃,话补,加班补助",不限,会计/会计师,3500-5000
 南京市雨花台区越莱富家具经营部 ,会计/会计师, 建邺万… ,大专,五险一金,不限,会计/会计师,3000-5000
 南京金居美酒店管理有限公司 ,会计, 建邺万… ,不限,"五险一金,包吃,周末双休",3-5年,会计/会计师,4500-5000
 江苏鑫方盛电子商务有限公司 ,会计/出纳, 建邺万… ,大专,"包吃,包住",不限,会计/会计师,3000-5000
 南京慧思果农副产品有限公司 ,会计, 建邺万… ,不限,"五险一金,包吃",不限,会计/会计师,3000-5000
 南京市栖霞区上林超市 ,诚招超市会计高薪, 建邺万… ,大专,"五险一金,加班补助,饭补",1-2年,会计/会计师,4000-6000
 江苏金蓝鲸智能环保科技有限公司 ,现金会计, 建邺万… ,大专,"五险一金,包吃,话补,交通补助,饭补",不限,会计/会计师,面议
 南京欣隆全建筑工程有限公司 ,记账会计, 建邺万… ,不限,,不限,会计/会计师,面议
 南京明巍清洁服务有限公司 ,总账会计, 建邺万… ,不限,,10年以上,会计/会计师,面议
 南京江荟海酒店管理有限公司 ,会计, 建邺万… ,不限,"包吃,加班补助",不限,会计/会计师,4000-5000
 南京市雨花台区浩淼环保材料销… ,会计, 建邺万… ,不限,,不限,会计/会计师,面议
 江苏连恒建设劳务有限公司 ,工程会计, 建邺万… ,大专,周末双休,10年以上,会计/会计师,面议
 南京骏众科技有限公司 ,有人选了财务公司招聘会计, 建邺万… ,大专,周末双休,不限,会计/会计师,面议
 南京和升仁食品贸易有限公司 ,会计/会计师, 建邺万… ,大专,"五险一金,话补,饭补",1-2年,会计/会计师,3000-5000
 南京韵鸿圣建设工程有限公司 ,会计, 建邺万… ,大专,"五险一金,话补,交通补助,饭补,加班补助",不限,会计/会计师,5000-8000
 南京方平财务服务有限公司 ,代账公司会计, 建邺万… ,不限,周末双休,不限,会计/会计师,面议
 南京汉医生物科技有限公司 ,会计, 建邺万… ,不限,,1-2年,会计/会计师,3000-5000
 南京中直阁食品商贸有限公司 ,会计, 建邺万… ,本科,,不限,会计/会计师,3000-5000
 姑苏区我的客人美发店 ,会计, 建邺万… ,不限,,不限,会计/会计师,3000-5000
 南京华运市场管理有限公司 ,会计, 建邺万… ,本科,"五险一金,包吃,包住,周末双休",1-2年,会计/会计师,面议
 江苏庆慷制冷工程有限公司 ,会计, 建邺万… ,大专,"饭补,交通补助,话补,加班补助,年底双薪",3-5年,会计/会计师,5000-8000
 南京会舜建设工程有限公司 ,会计, 建邺万… ,大专,"包吃,周末双休",3-5年,会计/会计师,面议
 江苏孟和建设工程有限公司南京… ,会计/会计师, 建邺万… ,不限,"五险一金,交通补助,饭补",1-2年,会计/会计师,3000-5000
 南京艾尚智能科技有限公司 ,出纳会计, 建邺万… ,大专,周末双休,不限,会计/会计师,面议
 南京响雷科技有限公司 ,会计, 建邺万… ,大专,,3-5年,会计/会计师,3500-6000
 南京鸿岳物业服务有限公司 ,总账会计, 建邺万… ,本科,"饭补,五险一金,周末双休",3-5年,会计/会计师,面议
 南京迪海供应链管理有限公司 ,会计, 建邺万… ,不限,周末双休,不限,会计/会计师,4000-5000
 南京鑫华瑞线路器材有限公司 ,会计, 建邺万… ,大专,五险一金,1-2年,会计/会计师,4000-5000
 南京豪乔建设工程有限公司 ,会计, 建邺万… ,不限,,不限,会计/会计师,3000-5000
 南京华创包装机械设备有限公司 ,招总账会计高薪, 建邺万… ,大专,"包吃,包住,加班补助,五险一金,饭补",1-2年,会计/会计师,面议
 南京中建集力劳务有限责任公司 ,会计1年经验, 建邺万… ,大专,"五险一金,包住,年底双薪,周末双休",不限,会计/会计师,4000-5000
 南京振博电力成套设备有限公司 ,会计, 建邺万… ,不限,,不限,会计/会计师,3000-5000
 南京勇怡敏阳酒业有限公司 ,会计, 建邺万… ,不限,包吃,不限,会计/会计师,3000-5000
 开创企业服务南京有限公司 ,会计, 建邺万… ,不限,"五险一金,周末双休",不限,会计/会计师,4000-7000
 美迷医疗管理（上海）有限公司 ,会计5五险可应届生, 建邺万… ,不限,"加班补助,房补,包吃,交通补助,话补",不限,会计/会计师,3000-4000
 南京优派轴承有限公司 ,会计, 建邺万… ,不限,,3-5年,会计/会计师,3000-5000
 江苏智源食品科技发展有限公司 ,会计, 江宁区 ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 江苏壹玖玖叁代理记账有限公司 ,会计, 江宁区 ,本科,"五险一金,周末双休",1-2年,会计/会计师,4500-5000
 江苏三翼工程机械有限公司 ,会计, 江宁区 ,本科,"饭补,五险一金,话补,年底双薪,包住",1-2年,会计/会计师,5000-6000
 南京琪辕汽车服务有限公司 ,会计, 江宁区 ,大专,"包住,话补",1-2年,会计/会计师,5000-6000
 南京友西科技股份有限公司 ,会计, 江宁区 ,大专,"五险一金,年底双薪,周末双休",不限,会计/会计师,4000-6000
 南京佳家乐装饰工程有限公司 ,会计, 江宁区 ,大专,,1-2年,会计/会计师,面议
 南京佳茂食品厂 ,核账会计, 江宁区 ,大专,"五险一金,加班补助,交通补助,话补",3-5年,会计/会计师,面议
 南京孚嘉印刷有限公司 ,会计/会计师, 江宁区 ,不限,"包住,包吃",不限,会计/会计师,面议
 江苏凡华建筑工程有限公司 ,工地现场会计, 江宁区 ,高中,"包吃,包住,话补,交通补助,五险一金",1-2年,会计/会计师,3000-5000
 温州凯康食品有限公司 ,会计, 江宁区 ,大专,,3-5年,会计/会计师,4500-6000
 医械大数据（江苏）有限公司 ,会计, 江宁区 ,大专,"五险一金,周末双休",3-5年,会计/会计师,4000-6000
 南京勇捷汽车销售有限公司 ,会计, 江宁区 ,本科,"包吃,房补,话补,交通补助,饭补",3-5年,会计/会计师,5000-8000
 南京嘉恒医药有限公司 ,会计, 江宁区 ,不限,"周末双休,加班补助,交通补助,年底双薪,五险一金",不限,会计/会计师,4000-8000
 艾克森特（南京）安全科技有限… ,会计, 江宁区 ,高中,"五险一金,包吃",1-2年,会计/会计师,3000-5000
 南京爱必康生物科技有限公司 ,会计, 江宁区 ,不限,,不限,会计/会计师,3000-5000
 南京市江宁区鸿禾食品经营部 ,会计, 江宁区 ,不限,,不限,会计/会计师,面议
 南京隆硕建设工程有限公司 ,财务助理, 江宁区 ,不限,"包吃,周末双休",1-2年,会计/会计师,面议
 南京吾优彩信息科技有限公司 ,体彩收银员, 江宁区 ,不限,,不限,会计/会计师,3500-6000
 南京以利亚装饰工程有限公司江… ,会计/会计师, 江宁区 ,不限,"包吃,包住,交通补助,饭补",不限,会计/会计师,3000-5000
 无锡威孚物业有限公司南京分公司 ,总账会计4500+, 江宁区 ,不限,周末双休,不限,会计/会计师,4500-6000
 浙江祥果贸易有限公司 ,高薪直聘会计包吃住, 江宁区 ,大专,"包吃,包住",不限,会计/会计师,4000-8000
